,Slogan,SlogansToList,IndexEncoded
5467,Treating more than just back pain,"['Treating', 'more', 'than', 'just', 'back', 'pain']","[13916, 13916, 13916, 13916, 811, 8642, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
5468,Where healthy people go,"['Where', 'healthy', 'people', 'go']","[13916, 5679, 8886, 5249, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
5469,Discover what chiropractic can do for you,"['Discover', 'what', 'chiropractic', 'can', 'do', 'for', 'you']","[3547, 13916, 13916, 1717, 3681, 13916, 13916, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
5470,Caring for your health first,"['Caring', 'for', 'your', 'health', 'first']","[13916, 13916, 13916, 5677, 4662, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
5471,Natural health care for all generations,"['Natural', 'health', 'care', 'for', 'all', 'generations']","[8085, 5677, 1780, 13916, 13916, 5132, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
5472,Modern medicine with a hometown touch,"['Modern', 'medicine', 'with', 'a', 'hometown', 'touch']","[7822, 7582, 13916, 13916, 5867, 12667, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
5473,Increase your level of awesomeness,"['Increase', 'your', 'level', 'of', 'awesomeness']","[6260, 13916, 7048, 13916, 13916, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
5474,Chiropractic wellness hand in hand,"['Chiropractic', 'wellness', 'hand', 'in', 'hand']","[13916, 13646, 5562, 13916, 5562, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
5475,Expect a miracle,"['Expect', 'a', 'miracle']","[4336, 13916, 7750, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
5476,Keeping families well adjusted,"['Keeping', 'families', 'well', 'adjusted']","[13916, 4461, 13916, 13916, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
5477,Empowering people to achieve optimal health,"['Empowering', 'people', 'to', 'achieve', 'optimal', 'health']","[13916, 8886, 13916, 86, 13916, 5677, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
5478,Spend more on yourself less on your dentist,"['Spend', 'more', 'on', 'yourself', 'less', 'on', 'your', 'dentist']","[11585, 13916, 13916, 13916, 13916, 13916, 13916, 3284, 0, 0, 0, 0, 0, 0, 0, 0]"
5479,Be proud of your smile,"['Be', 'proud', 'of', 'your', 'smile']","[987, 9601, 13916, 13916, 11354, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
5480,Where beautiful smiles begin,"['Where', 'beautiful', 'smiles', 'begin']","[13916, 1010, 11354, 1036, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
5481,It's all about you,"[""It's"", 'all', 'about', 'you']","[13916, 13916, 13916, 13916, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
5482,A good reason to smile,"['A', 'good', 'reason', 'to', 'smile']","[13916, 5280, 9920, 13916, 11354, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
5483,Smile You re in good hands,"['Smile', 'You', 're', 'in', 'good', 'hands']","[11354, 13916, 13916, 13916, 5280, 5562, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
5484,Let us take care of you and your smile,"['Let', 'us', 'take', 'care', 'of', 'you', 'and', 'your', 'smile']","[7040, 13916, 12275, 1780, 13916, 13916, 13916, 13916, 11354, 0, 0, 0, 0, 0, 0, 0]"
5485,Specialized dentistry Personalized care,"['Specialized', 'dentistry', 'Personalized', 'care']","[13916, 13916, 13916, 1780, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
5486,A better life starts with a beautiful smile,"['A', 'better', 'life', 'starts', 'with', 'a', 'beautiful', 'smile']","[13916, 13916, 7073, 11755, 13916, 13916, 1010, 11354, 0, 0, 0, 0, 0, 0, 0, 0]"
5487,Dentistry with a personal touch,"['Dentistry', 'with', 'a', 'personal', 'touch']","[13916, 13916, 13916, 8938, 12667, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
5488,Your smile is your best accessory,"['Your', 'smile', 'is', 'your', 'best', 'accessory']","[13916, 11354, 13916, 13916, 13916, 60, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
5489,A health body starts with a healthy mouth,"['A', 'health', 'body', 'starts', 'with', 'a', 'healthy', 'mouth']","[13916, 5677, 1305, 11755, 13916, 13916, 5679, 7958, 0, 0, 0, 0, 0, 0, 0, 0]"
5490,Dental excellence Compassionate care,"['Dental', 'excellence', 'Compassionate', 'care']","[3283, 4282, 2423, 1780, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
5491,The latest in dentistry from people who care,"['The', 'latest', 'in', 'dentistry', 'from', 'people', 'who', 'care']","[13916, 13916, 13916, 13916, 13916, 8886, 13916, 1780, 0, 0, 0, 0, 0, 0, 0, 0]"
5492,Dentistry with family in mind,"['Dentistry', 'with', 'family', 'in', 'mind']","[13916, 13916, 4461, 13916, 7725, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
5493,All aboard for healthy smiles,"['All', 'aboard', 'for', 'healthy', 'smiles']","[13916, 13916, 13916, 5679, 11354, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
5494,Where kindness dentistry meet,"['Where', 'kindness', 'dentistry', 'meet']","[13916, 6823, 13916, 7591, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
5495,Your gateway to a breath of fresh air,"['Your', 'gateway', 'to', 'a', 'breath', 'of', 'fresh', 'air']","[13916, 5103, 13916, 13916, 1461, 13916, 4947, 258, 0, 0, 0, 0, 0, 0, 0, 0]"
5496,Improving the world one smile at a time,"['Improving', 'the', 'world', 'one', 'smile', 'at', 'a', 'time']","[13916, 13916, 13820, 8418, 11354, 13916, 13916, 12569, 0, 0, 0, 0, 0, 0, 0, 0]"
5497,Flaunt it,"['Flaunt', 'it']","[4722, 13916, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
5498,Where smiles come alive,"['Where', 'smiles', 'come', 'alive']","[13916, 11354, 2355, 305, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
5499,Giving our neighbours a smile,"['Giving', 'our', 'neighbours', 'a', 'smile']","[13916, 13916, 13916, 13916, 11354, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
5500,Smile and the world smiles with you,"['Smile', 'and', 'the', 'world', 'smiles', 'with', 'you']","[11354, 13916, 13916, 13820, 11354, 13916, 13916, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
5501,For the life of your smile,"['For', 'the', 'life', 'of', 'your', 'smile']","[13916, 13916, 7073, 13916, 13916, 11354, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
5502,Family smile care in comfort,"['Family', 'smile', 'care', 'in', 'comfort']","[4461, 11354, 1780, 13916, 2360, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
5503,Get the smile you've always wanted,"['Get', 'the', 'smile', ""you've"", 'always', 'wanted']","[5167, 13916, 11354, 13916, 13916, 13916, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
5504,Modern dentistry in a calm and relaxed environment,"['Modern', 'dentistry', 'in', 'a', 'calm', 'and', 'relaxed', 'environment']","[7822, 13916, 13916, 13916, 1702, 13916, 10115, 4163, 0, 0, 0, 0, 0, 0, 0, 0]"
5505,A healthy smile begins with a child,"['A', 'healthy', 'smile', 'begins', 'with', 'a', 'child']","[13916, 5679, 11354, 1036, 13916, 13916, 2031, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
5506,Dentistry you can't wait to tell your friends about,"['Dentistry', 'you', ""can't"", 'wait', 'to', 'tell', 'your', 'friends', 'about']","[13916, 13916, 13916, 13524, 13916, 12390, 13916, 4958, 13916, 0, 0, 0, 0, 0, 0, 0]"
5507,Our family caring for yours,"['Our', 'family', 'caring', 'for', 'yours']","[13916, 4461, 13916, 13916, 13916, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
5508,Because everyone deserves to smile,"['Because', 'everyone', 'deserves', 'to', 'smile']","[13916, 13916, 13916, 13916, 11354, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
5509,The art of dentistry,"['The', 'art', 'of', 'dentistry']","[13916, 611, 13916, 13916, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
5510,Family dentistry with a woman's touch,"['Family', 'dentistry', 'with', 'a', ""woman's"", 'touch']","[4461, 13916, 13916, 13916, 13916, 12667, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
5511,As distinctive as you are,"['As', 'distinctive', 'as', 'you', 'are']","[13916, 3640, 13916, 13916, 13916, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
5512,The cure for dental anxiety The home of radiant smiles,"['The', 'cure', 'for', 'dental', 'anxiety', 'The', 'home', 'of', 'radiant', 'smiles']","[13916, 3006, 13916, 3283, 484, 13916, 5856, 13916, 9803, 11354, 0, 0, 0, 0, 0, 0]"
5513,We re here to help,"['We', 're', 'here', 'to', 'help']","[13916, 13916, 13916, 13916, 5734, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
5514,Progressive methods Caring approach,"['Progressive', 'methods', 'Caring', 'approach']","[9528, 7663, 13916, 539, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
5515,Creating healthy smiles with a gentle touch,"['Creating', 'healthy', 'smiles', 'with', 'a', 'gentle', 'touch']","[13916, 5679, 11354, 13916, 13916, 5149, 12667, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
5516,Excellence defined,"['Excellence', 'defined']","[4282, 13916, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
5517,Precise Meticulous Human,"['Precise', 'Meticulous', 'Human']","[9353, 7666, 5982, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
5518,Gentle high quality dental care,"['Gentle', 'high', 'quality', 'dental', 'care']","[5149, 5785, 9739, 3283, 1780, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
5519,Smile care,"['Smile', 'care']","[11354, 1780, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
5520,Modern dentistry with gentle care,"['Modern', 'dentistry', 'with', 'gentle', 'care']","[7822, 13916, 13916, 5149, 1780, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
5521,Eat wisely smile nicely,"['Eat', 'wisely', 'smile', 'nicely']","[3921, 13916, 11354, 13916, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
5522,We bring smiles to life,"['We', 'bring', 'smiles', 'to', 'life']","[13916, 1497, 11354, 13916, 7073, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
5523,We love to see you smile,"['We', 'love', 'to', 'see', 'you', 'smile']","[13916, 7246, 13916, 10871, 13916, 11354, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
5524,Something to smile about,"['Something', 'to', 'smile', 'about']","[13916, 13916, 11354, 13916, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
5525,Creating miles of smiles,"['Creating', 'miles', 'of', 'smiles']","[13916, 7703, 13916, 11354, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
5526,We cater to cowards,"['We', 'cater', 'to', 'cowards']","[13916, 1848, 13916, 2832, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
5527,Caring for all your family's dental needs,"['Caring', 'for', 'all', 'your', ""family's"", 'dental', 'needs']","[13916, 13916, 13916, 13916, 13916, 3283, 8112, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
5528,An attractive smile makes a lasting impression,"['An', 'attractive', 'smile', 'makes', 'a', 'lasting', 'impression']","[13916, 727, 11354, 7366, 13916, 6938, 6189, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
5529,Dentistry is our profession but people are our focus,"['Dentistry', 'is', 'our', 'profession', 'but', 'people', 'are', 'our', 'focus']","[13916, 13916, 13916, 9511, 13916, 8886, 13916, 13916, 4791, 0, 0, 0, 0, 0, 0, 0]"
5530,Say it with a smile,"['Say', 'it', 'with', 'a', 'smile']","[10692, 13916, 13916, 13916, 11354, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
5531,Grow up with smiling,"['Grow', 'up', 'with', 'smiling']","[5440, 13916, 13916, 13916, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
5532,Exceptional service Remarkably gentle,"['Exceptional', 'service', 'Remarkably', 'gentle']","[4286, 10958, 13916, 5149, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
5533,Kids love us Parents trust us,"['Kids', 'love', 'us', 'Parents', 'trust', 'us']","[6810, 7246, 13916, 13916, 12862, 13916, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
5534,Helping keep Portland's kids smiling,"['Helping', 'keep', ""Portland's"", 'kids', 'smiling']","[13916, 6780, 13916, 6803, 13916, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
5535,Generations of beautiful smiles,"['Generations', 'of', 'beautiful', 'smiles']","[13916, 13916, 1010, 11354, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
5536,Dentistry for today's lifestyle,"['Dentistry', 'for', ""today's"", 'lifestyle']","[13916, 13916, 13916, 7082, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
5537,We take care of your mouth like an angel,"['We', 'take', 'care', 'of', 'your', 'mouth', 'like', 'an', 'angel']","[13916, 12275, 1780, 13916, 13916, 7958, 7099, 13916, 416, 0, 0, 0, 0, 0, 0, 0]"
5538,Upscale dental care from down to earth people,"['Upscale', 'dental', 'care', 'from', 'down', 'to', 'earth', 'people']","[13248, 3283, 1780, 13916, 13916, 13916, 3910, 8886, 0, 0, 0, 0, 0, 0, 0, 0]"
5539,Your pathway to a bright new smile,"['Your', 'pathway', 'to', 'a', 'bright', 'new', 'smile']","[13916, 8785, 13916, 13916, 1490, 8158, 11354, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
5540,Dentistry dedicated to excellence,"['Dentistry', 'dedicated', 'to', 'excellence']","[13916, 13916, 13916, 4282, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
5541,Imagine yourself with a new smile,"['Imagine', 'yourself', 'with', 'a', 'new', 'smile']","[6118, 13916, 13916, 13916, 8158, 11354, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
5542,Our smiles speak for themselves,"['Our', 'smiles', 'speak', 'for', 'themselves']","[13916, 11354, 11552, 13916, 13916, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
5543,Dental care for life,"['Dental', 'care', 'for', 'life']","[3283, 1780, 13916, 7073, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
5544,Where many have found their Carolina smile,"['Where', 'many', 'have', 'found', 'their', 'Carolina', 'smile']","[13916, 13916, 5642, 13916, 13916, 13916, 11354, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
5545,Let us brighten your smile,"['Let', 'us', 'brighten', 'your', 'smile']","[7040, 13916, 1491, 13916, 11354, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
5546,The experience you can count on,"['The', 'experience', 'you', 'can', 'count', 'on']","[13916, 4346, 13916, 1717, 2792, 13916, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
5547,We want to make you smile,"['We', 'want', 'to', 'make', 'you', 'smile']","[13916, 13546, 13916, 7366, 13916, 11354, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
5548,The world always looks brighter from behind a smile,"['The', 'world', 'always', 'looks', 'brighter', 'from', 'behind', 'a', 'smile']","[13916, 13820, 13916, 7215, 13916, 13916, 13916, 13916, 11354, 0, 0, 0, 0, 0, 0, 0]"
5549,Let us make you smile,"['Let', 'us', 'make', 'you', 'smile']","[7040, 13916, 7366, 13916, 11354, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
5550,Dentistry for people who love to smile,"['Dentistry', 'for', 'people', 'who', 'love', 'to', 'smile']","[13916, 13916, 8886, 13916, 7246, 13916, 11354, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
5551,Creating beautiful healthy smiles,"['Creating', 'beautiful', 'healthy', 'smiles']","[13916, 1010, 5679, 11354, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
5552,Creating beautiful smiles every day,"['Creating', 'beautiful', 'smiles', 'every', 'day']","[13916, 1010, 11354, 13916, 3100, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
5553,Changing lives one smile at a time,"['Changing', 'lives', 'one', 'smile', 'at', 'a', 'time']","[13916, 7073, 8418, 11354, 13916, 13916, 12569, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
5554,Creating vibrant smiles for healthy lifestyles,"['Creating', 'vibrant', 'smiles', 'for', 'healthy', 'lifestyles']","[13916, 13404, 11354, 13916, 5679, 7082, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
5555,Make your dream smile a reality,"['Make', 'your', 'dream', 'smile', 'a', 'reality']","[7366, 13916, 3795, 11354, 13916, 9910, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
5556,Personalized comfortable,"['Personalized', 'comfortable']","[13916, 2361, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
5557,Creating the healthy smile you want through science and artistry,"['Creating', 'the', 'healthy', 'smile', 'you', 'want', 'through', 'science', 'and', 'artistry']","[13916, 13916, 5679, 11354, 13916, 13546, 13916, 10749, 13916, 624, 0, 0, 0, 0, 0, 0]"
5558,Creating happy healthy smiles,"['Creating', 'happy', 'healthy', 'smiles']","[13916, 5596, 5679, 11354, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
5559,Bringing life to your smile,"['Bringing', 'life', 'to', 'your', 'smile']","[13916, 7073, 13916, 13916, 11354, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
5560,Comfortable dentistry,"['Comfortable', 'dentistry']","[2361, 13916, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
5561,Exceptionally well trained general dentists,"['Exceptionally', 'well', 'trained', 'general', 'dentists']","[13916, 13916, 13916, 5130, 3284, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
5562,Quality affordable dentistry,"['Quality', 'affordable', 'dentistry']","[9739, 216, 13916, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
5563,Dental home for people in need,"['Dental', 'home', 'for', 'people', 'in', 'need']","[3283, 5856, 13916, 8886, 13916, 8112, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
5564,Your smile matters,"['Your', 'smile', 'matters']","[13916, 11354, 7529, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
5565,Complete care on your schedule,"['Complete', 'care', 'on', 'your', 'schedule']","[2441, 1780, 13916, 13916, 10725, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
5566,Excellence in dentistry with optimum care,"['Excellence', 'in', 'dentistry', 'with', 'optimum', 'care']","[4282, 13916, 13916, 13916, 8461, 1780, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
5567,Leading the way in results driven care,"['Leading', 'the', 'way', 'in', 'results', 'driven', 'care']","[13916, 13916, 13601, 13916, 10299, 13916, 1780, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
5568,Relax this is going to be so easy,"['Relax', 'this', 'is', 'going', 'to', 'be', 'so', 'easy']","[10113, 13916, 13916, 13916, 13916, 987, 13916, 3919, 0, 0, 0, 0, 0, 0, 0, 0]"
5569,The smart way to find a dentist,"['The', 'smart', 'way', 'to', 'find', 'a', 'dentist']","[13916, 11345, 13601, 13916, 4634, 13916, 3284, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
5570,Get matched with a great dentist today,"['Get', 'matched', 'with', 'a', 'great', 'dentist', 'today']","[5167, 13916, 13916, 13916, 5375, 3284, 13916, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
5571,Seriously it's time,"['Seriously', ""it's"", 'time']","[13916, 13916, 12569, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
5572,Because teeth have feeling too,"['Because', 'teeth', 'have', 'feeling', 'too']","[13916, 12376, 5642, 4544, 13916, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
5573,New smile New life,"['New', 'smile', 'New', 'life']","[8158, 11354, 8158, 7073, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
5574,Cosmetic excellence Stunning smiles,"['Cosmetic', 'excellence', 'Stunning', 'smiles']","[2774, 4282, 11962, 11354, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
5575,For a beautiful and healthy smile,"['For', 'a', 'beautiful', 'and', 'healthy', 'smile']","[13916, 13916, 1010, 13916, 5679, 11354, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
5576,Smiles with style,"['Smiles', 'with', 'style']","[13916, 13916, 11970, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
5577,A perfect smile guaranteed,"['A', 'perfect', 'smile', 'guaranteed']","[13916, 8902, 11354, 13916, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
5578,Enjoy the beauty of a healthy smile,"['Enjoy', 'the', 'beauty', 'of', 'a', 'healthy', 'smile']","[4120, 13916, 1011, 13916, 13916, 5679, 11354, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
5579,Dedicated to excellence,"['Dedicated', 'to', 'excellence']","[13916, 13916, 4282, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
5580,The gentle dental centre,"['The', 'gentle', 'dental', 'centre']","[13916, 5149, 3283, 13916, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
5581,Protecting patients regulating the dental team,"['Protecting', 'patients', 'regulating', 'the', 'dental', 'team']","[13916, 8787, 13916, 13916, 3283, 12349, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
5582,Tomorrow's dentistry practised today,"[""Tomorrow's"", 'dentistry', 'practised', 'today']","[13916, 13916, 13916, 13916, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
5583,Smiles that fit your lifestyle,"['Smiles', 'that', 'fit', 'your', 'lifestyle']","[13916, 13916, 4674, 13916, 7082, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
5584,We don't turn anyone away for inability to pay,"['We', ""don't"", 'turn', 'anyone', 'away', 'for', 'inability', 'to', 'pay']","[13916, 13916, 12899, 13916, 13916, 13916, 6208, 13916, 8807, 0, 0, 0, 0, 0, 0, 0]"
5585,Because you should want to go to your dentist,"['Because', 'you', 'should', 'want', 'to', 'go', 'to', 'your', 'dentist']","[13916, 13916, 13916, 13546, 13916, 5249, 13916, 13916, 3284, 0, 0, 0, 0, 0, 0, 0]"
5586,Beyond your expectations,"['Beyond', 'your', 'expectations']","[13916, 13916, 4338, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
5587,Making Kalgoorlie smile,"['Making', 'Kalgoorlie', 'smile']","[13916, 13916, 11354, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
5588,Keeping Sydney smiling,"['Keeping', 'Sydney', 'smiling']","[13916, 13916, 13916, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
5589,Experience the gentle difference,"['Experience', 'the', 'gentle', 'difference']","[4346, 13916, 5149, 3447, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
5590,Release your smile,"['Release', 'your', 'smile']","[10118, 13916, 11354, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
5591,Beautiful natural smiles,"['Beautiful', 'natural', 'smiles']","[1010, 8085, 11354, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
5592,Melbourne's home of dentistry,"[""Melbourne's"", 'home', 'of', 'dentistry']","[13916, 5856, 13916, 13916, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
5593,Helping you smile,"['Helping', 'you', 'smile']","[13916, 13916, 11354, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
5594,The sweet experience,"['The', 'sweet', 'experience']","[13916, 12182, 4346, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
5595,A smile is a curve that sets everything straight,"['A', 'smile', 'is', 'a', 'curve', 'that', 'sets', 'everything', 'straight']","[13916, 11354, 13916, 13916, 3021, 13916, 10962, 13916, 13916, 0, 0, 0, 0, 0, 0, 0]"
5596,Put a smile on your face,"['Put', 'a', 'smile', 'on', 'your', 'face']","[9721, 13916, 11354, 13916, 13916, 4421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
5597,Put a smile in your life,"['Put', 'a', 'smile', 'in', 'your', 'life']","[9721, 13916, 11354, 13916, 13916, 7073, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
5598,Tomorrow's dentistry today,"[""Tomorrow's"", 'dentistry', 'today']","[13916, 13916, 13916, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
5599,Your comfort is our first concern,"['Your', 'comfort', 'is', 'our', 'first', 'concern']","[13916, 2360, 13916, 13916, 4662, 2489, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
5600,A caring positive experience,"['A', 'caring', 'positive', 'experience']","[13916, 13916, 9279, 4346, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
5601,Where science meets art,"['Where', 'science', 'meets', 'art']","[13916, 10749, 7591, 611, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
5602,Dentistry with heart,"['Dentistry', 'with', 'heart']","[13916, 13916, 5684, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
5603,Perfect smile perfect you,"['Perfect', 'smile', 'perfect', 'you']","[8902, 11354, 8902, 13916, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
5604,Making top quality dentistry affordable,"['Making', 'top', 'quality', 'dentistry', 'affordable']","[13916, 12645, 9739, 13916, 216, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
5605,Filling the gap in dentistry,"['Filling', 'the', 'gap', 'in', 'dentistry']","[13916, 13916, 5078, 13916, 13916, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
5606,My child's dentist,"['My', ""child's"", 'dentist']","[13916, 13916, 3284, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
5607,The dental professionals,"['The', 'dental', 'professionals']","[13916, 3283, 9512, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
5608,Caring for the community,"['Caring', 'for', 'the', 'community']","[13916, 13916, 13916, 2408, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
5609,For a stunning smile,"['For', 'a', 'stunning', 'smile']","[13916, 13916, 11962, 11354, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
5610,Private dentistry in a relaxing high tech environment,"['Private', 'dentistry', 'in', 'a', 'relaxing', 'high', 'tech', 'environment']","[9469, 13916, 13916, 13916, 10116, 5785, 12358, 4163, 0, 0, 0, 0, 0, 0, 0, 0]"
